feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
Pcsk5	type	wound	1.00093606875158	0.123421842491931	9.85262286668197e-16	1.3874930758647e-14	CPLM	1.01	1634	598	63
Opcml	type	wound	-0.850696171041112	0.105265405920128	1.23337766374347e-15	1.71917743742202e-14	CPLM	1.208	1634	1193	27
Scaper	type	wound	1.25166727989809	0.156470580803999	2.34893250054504e-15	3.24105231893387e-14	CPLM	1.01	1634	263	84
Nckap5	type	wound	1.10698719547722	0.138599556727884	2.58839130439675e-15	3.53574252180595e-14	CPLM	1.01	1634	388	76
Pbx1	type	wound	-1.30772189109241	0.163894180789994	2.75255394475098e-15	3.72276107775231e-14	CPLM	1.01	1634	1059	35
Litaf	type	wound	1.49787171480315	0.187796808439378	2.81854086060116e-15	3.77463413292273e-14	CPLM	1.01	1634	192	88
Hivep3	type	wound	1.25322286583096	0.158450878045586	4.73468420089866e-15	6.27920254216269e-14	CPLM	1.01	1634	280	83
Sema5a	type	wound	1.15084912665055	0.146806685298016	8.11955448999516e-15	1.06647225320513e-13	CPLM	1.01	1634	343	79
Arhgap15	type	wound	1.2996332910703	0.165916735250258	8.51306563429291e-15	1.10750930061372e-13	CPLM	1.01	1634	257	84
Gm42418	type	wound	-0.276902011231347	0.0354857476054118	1.06990702170662e-14	1.37876697325589e-13	CPLM	1.581	1634	1623	1
Cacna1a	type	wound	1.37051200673988	0.17644352795039	1.4053993436398e-14	1.79418271346913e-13	CPLM	1.01	1634	215	87
Magi2	type	wound	0.828896913488851	0.108971794870346	4.72785096473715e-14	5.97985594243607e-13	CPLM	1.15	1634	713	56
Immp2l	type	wound	1.3588443060296	0.179276351674549	5.77889566372652e-14	7.24217566665177e-13	CPLM	1.01	1634	225	86
Csmd1	type	wound	1.94719838854745	0.262342774272101	1.84322471071581e-13	2.28894995894345e-12	CPLM	1.424	1634	193	88
Magi1	type	wound	1.24232807022587	0.168781298176655	2.8894582136436e-13	3.55585578363708e-12	CPLM	1.01	1634	250	85
Col1a1	type	wound	-2.47001472808041	0.335678842477569	2.93828666963457e-13	3.58366034885788e-12	CPLM	1.01	1634	1039	36
Itpr2	type	wound	1.40466493506472	0.191329418222289	3.31511252118725e-13	4.00747230437326e-12	CPLM	1.01	1634	169	90
C7	type	wound	-2.54319342836956	0.349737586324831	5.48425021642788e-13	6.57147876810569e-12	CPLM	1.271	1634	676	59
Ust	type	wound	-1.51805104552235	0.2093272350636	6.3141349766678e-13	7.50009424185062e-12	CPLM	1.01	1634	938	43
Fars2	type	wound	0.98182940793574	0.136075707669785	8.20688331316808e-13	9.6643125911962e-12	CPLM	1.01	1634	402	75
Tbx15	type	wound	-1.49457400300798	0.210057293729305	1.66826211269856e-12	1.9477316632019e-11	CPLM	1.112	1634	940	42
Sptbn1	type	wound	-1.50946310629481	0.212511345567432	1.81632753882597e-12	2.10263001528498e-11	CPLM	1.01	1634	899	45
Nxpe4	type	wound	1.13115229368328	0.160798799305555	2.92986630130425e-12	3.36319106519463e-11	CPLM	1.01	1634	308	81
Sntg1	type	wound	1.62077134959926	0.230605423395362	3.06008601309529e-12	3.45460949908113e-11	CPLM	1.32	1634	180	89
Pvt1	type	wound	1.20606222402708	0.171586770978864	3.04850757957937e-12	3.45460949908113e-11	CPLM	1.01	1634	247	85
Pcdh9	type	wound	1.26323179377822	0.17999940197544	3.28840327956914e-12	3.68193350810775e-11	CPLM	1.182	1634	277	83
Iqgap2	type	wound	1.37651826045487	0.198550091258853	5.92035941220545e-12	6.57496825778263e-11	CPLM	1.01	1634	176	89
Arfgef1	type	wound	1.01736636415716	0.14685573822184	6.13528915154181e-12	6.75871369435976e-11	CPLM	1.01	1634	378	77
Dapk1	type	wound	-1.44312022293804	0.210758870072603	1.06235190565191e-11	1.16093816249641e-10	CPLM	1.01	1634	943	42
Nalcn	type	wound	1.31173733183685	0.191955541680382	1.16593381887513e-11	1.26402031474876e-10	CPLM	1.01	1634	187	89
Col4a2	type	wound	1.26200870416379	0.1872482325645	2.19335495683166e-11	2.35915186695437e-10	CPLM	1.01	1634	185	89
Stau2	type	wound	1.32817712304778	0.197340814662573	2.33560452191045e-11	2.49252795072631e-10	CPLM	1.01	1634	174	89
Ppp2r2b	type	wound	1.38416636660082	0.20570832646537	2.360579569624e-11	2.49965247450107e-10	CPLM	1.01	1634	194	88
Frmd4b	type	wound	0.954768097840921	0.142430373880659	2.79630037564551e-11	2.93826639471674e-10	CPLM	1.01	1634	412	75
Armh3	type	wound	1.1332569288671	0.171097116853141	4.74927643912138e-11	4.95229894338917e-10	CPLM	1.01	1634	238	85
Ebf1	type	wound	-0.590225627041068	0.089154991941145	4.85215205636186e-11	5.02124220378053e-10	CPLM	1.142	1634	1274	22
Slc39a11	type	wound	1.27752222596158	0.193960149328957	6.05526529501689e-11	6.21916721277674e-10	CPLM	1.01	1634	183	89
Csgalnact1	type	wound	1.09626948099106	0.1666151486123	6.33409350063158e-11	6.45699382228562e-10	CPLM	1.01	1634	277	83
Pde4d	type	wound	0.740071459687528	0.112634138936642	6.72172231468761e-11	6.7513769719583e-10	CPLM	1.01	1634	756	54
Nfia	type	wound	-0.885502254527773	0.134763270555583	6.71206987901427e-11	6.7513769719583e-10	CPLM	1.01	1634	1091	33
Mitf	type	wound	-1.62328893927992	0.248025702465397	7.952183758638e-11	7.87150943065182e-10	CPLM	1.01	1634	893	45
Dnm3	type	wound	1.2599478844827	0.192480663656617	7.90051564013838e-11	7.87150943065182e-10	CPLM	1.01	1634	192	88
Prr16	type	wound	0.94164779986176	0.144135721035999	8.58637939980335e-11	8.43812536700099e-10	CPLM	1.01	1634	422	74
Samd4	type	wound	0.855272984334306	0.131958351857692	1.20053727995747e-10	1.17138137458707e-09	CPLM	1.01	1634	507	69
Erc2	type	wound	1.3099029496882	0.20242564153637	1.28354782345359e-10	1.24349384882099e-09	CPLM	1.01	1634	192	88
Col5a2	type	wound	-1.18058767405035	0.18325821543459	1.54536343142273e-10	1.4865960896644e-09	CPLM	1.01	1634	942	42
Sdccag8	type	wound	1.03872920891612	0.16164775114542	1.71614209675572e-10	1.63933573718064e-09	CPLM	1.01	1634	314	81
Uggt2	type	wound	1.32599473575382	0.206588428528918	1.79888904880457e-10	1.70644613935212e-09	CPLM	1.01	1634	168	90
Pld1	type	wound	1.04686646909418	0.163273886237702	1.87909806767751e-10	1.7702399727224e-09	CPLM	1.01	1634	296	82
Rptor	type	wound	1.10753429748165	0.173337464524932	2.16618280570662e-10	2.02671624150359e-09	CPLM	1.01	1634	249	85
Mrc2	type	wound	0.857552053553712	0.134865967188098	2.63734317221205e-10	2.45075562805556e-09	CPLM	1.01	1634	468	71
Msi2	type	wound	1.23098807619175	0.195014483263723	3.53465067974586e-10	3.26238704630598e-09	CPLM	1.01	1634	194	88
Prrx1	type	wound	-1.37831982777257	0.218687159734034	3.75495224050298e-10	3.44245957082354e-09	CPLM	1.01	1634	796	51
Ahnak	type	wound	-2.20071053057042	0.350600185511528	4.41423192313461e-10	4.01989387133458e-09	CPLM	1.01	1634	856	48
Man1a	type	wound	-0.89920492821503	0.145643192193706	8.38378889784594e-10	7.53437870687997e-09	CPLM	1.01	1634	1071	34
Vmp1	type	wound	1.24557315148819	0.201724823560383	8.35332519405938e-10	7.53437870687997e-09	CPLM	1.01	1634	172	89
Dync1li1	type	wound	1.26150100948255	0.205041186720985	9.5797667675492e-10	8.55291595063543e-09	CPLM	1.01	1634	181	89
Lncpint	type	wound	-1.53819675663442	0.250557012937986	1.03985977240985e-09	9.22369122799909e-09	CPLM	1.01	1634	746	54
Map2k1	type	wound	1.18635115875966	0.194475381140313	1.3196620984722e-09	1.16300543646001e-08	CPLM	1.01	1634	165	90
Add3	type	wound	-1.42307805183385	0.234475419580469	1.59512263369338e-09	1.39675481899048e-08	CPLM	1.01	1634	769	53
Pard3b	type	wound	-0.708180236628808	0.118605291820623	2.88938547228162e-09	2.51394939817624e-08	CPLM	1.01	1634	1120	31
